,descrip,price,envio,ciudad,otro1,otro2,benef,disponibles,stock,official,ventas,infoVentas,atencion,entrega,ventas,nopiniones,calificacion,vendedor,ubicacion,reviews,marca,modelo,descripcionExt
42,Botas De Seguridad Tipo Ingeniero Dieléctricas Certificadas,149.900,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
38
40
41
43
44
45
Guía de tallas
Al 90% le calzó como esperaba","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(7 disponibles),Hay stock disponible,,"633
ventas en los últimos 4 meses.","633
ventas en los últimos 4 meses.",,"633
ventas en los últimos 4 meses.","633
ventas en los últimos 4 meses.",14 opiniones,5,¿Qué quieres saber?,"Barranquilla, Atlantico",90%,"Marca
Saga
Modelo
4059",Género Hombre,"COMPRA CON FACTURA LEGAL / IVA INCLUIDO EN EL PRECIO

*** ENVÍO GRATIS A NIVEL NACIONAL ***

BOTA DE SEGURIDAD MARCA SAGA / MODELO 4059

*** DIELÉCTRICA / CERTIFICADA ***

Tipo: Botín
Piel: Nobuck
Color: Marrón
Puntera: Composite
Tallas: 35 - 48
Suela: PU Bidensidad

CARACTERÍSTICAS:

-Corte Externo: Elaborada en cuero Nobuck marrón calibre 1.8 - 2.0 mm. con combinación de cuero napa negro en cordoneras y cuero nobuck claro en cuello, lengüeta y laterales y sintetico en la puntera con cintas reflectivas en los laterales.
-Forro interno: Elaborado en tejido de punto 100% poliester texturizado, con suplemento de espuma calibre 4mm abullonado, con lamina de espuma de polietileno calibre 10mm. y tela no tejida 100% poliester que proporciona comodidad al zapato.
-Ojaletes: En remaches plásticos y cordonera togger.
-Contrafuerte: Lamina de poliester no tejido con adhesivo solvente que suministra alta protección al talón.
-Plantilla: Anatómica.
Interna: Lamina de fibertech calibre 2mm.
Externa: Etil Vinil Acetado (EVA) forrado en tela poliester en tejido circular calibre 4mm.
-Suela: Elaborada en poliuterano (PU), antideslizante, impermeable, flexible, liviana, aislante termica, formulada especialmente con excelente resistencia a los hidrocarburos y excelentes propiedades dieléctricas, Dureza 60-50 shore A.

SOMOS UNA EMPRESA DEDICADA A LA VENTA DE EQUIPOS DE PROTECCIÓN PERSONAL Y SEGURIDAD INDUSTRIAL, TODOS NUESTROS PRODUCTOS SE ENTREGAN CON FACTURA LEGAL, LOS PRECIOS PUBLICADOS INCLUYEN EL IVA.

VISITE NUESTRA E-SHOP EN EL SIGUIENTE LINK: https://eshops.mercadolibre.com.co/GCN-ONLINE"
43,Bota Pantanera Negra Con Punta De Acero Certificada Robusta,44.900,Envío a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
Seleccione una opción","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(190 disponibles),Hay stock disponible,,"459
ventas en los últimos 4 meses.","459
ventas en los últimos 4 meses.",,"459
ventas en los últimos 4 meses.","459
ventas en los últimos 4 meses.",1 opinión,5,¿Qué quieres saber?,"Bucaramanga, Santander",,"Marca
ROBUSTA
Modelo
GUERRERA",Género Hombre,"REF - BOTA PVC ROBUSTA GUERRERA NEGRA SEGURIDAD CANA ALTA

NUMERACION 36-44 REF 41.000 R.S

Industria Nacional - Producto Certificado norma icontec NTC

Usos: Construccion, Mineria , agricola, floricultura,ganaderia, jardineria & motociclismo.

CALZADO INDUSTRIAL DE SEGURIDAD EN PVC ROBUSTA

BOTAS EN PVC 100% IMPERMEABLES CON PUNTERA DE SEGURIDAD CANA ALTA
100% COLOMBIANAS Y CERTIFICADAS

SUELACOL JPJ TU MEJOR OPCION GOOGLE"
44,Bota Desierto Chihuahua,89.900,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
38
39
40
41
42
43","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(25 disponibles),Hay stock disponible,,"351
ventas en los últimos 4 meses.","351
ventas en los últimos 4 meses.",,"351
ventas en los últimos 4 meses.","351
ventas en los últimos 4 meses.",1 opinión,5,¿Qué quieres saber?,"Rafael Uribe Uribe, Bogotá D.C.",,"Marca
Desierto
Modelo
Chihuahua","Género Hombre
Tipo de calzado Botas
Estilo Militar
Tipo de caña Alta
Año de lanzamiento 2018","Elaborada en su totalidad en cuero genuino, suela en caucho resistente y antideslizante, cosidas y vulcanizadas, caña de 22 cm, acolchado interior térmico suave y plantilla semi ortopédica"
45,Botas De Seguridad Negra Dieléctrica Certificada Saga 2021e,75.000,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
Seleccione una opción
Guía de tallas
Al 100% le calzó como esperaba","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(55 disponibles),Hay stock disponible,,"633
ventas en los últimos 4 meses.","633
ventas en los últimos 4 meses.",,"633
ventas en los últimos 4 meses.","633
ventas en los últimos 4 meses.",7 opiniones,5,¿Qué quieres saber?,"Barranquilla, Atlantico",100%,"Marca
Saga
Modelo
2021E",Género Hombre,"COMPRA CON FACTURA LEGAL / IVA INCLUIDO EN EL PRECIO

***ENVÍO GRATIS A NIVEL NACIONAL***

BOTA MARCA SAGA MODELO 2021E NEGRA

***DIELÉCTRICA / CERTIFICADA***

Tipo: Botín
Piel: Micropiel
Color: Negro
Puntera: Composite
Tallas: 35 - 48
Suela: PU Bidensidad

CARACTERÍSTICAS:

-PUNTERA: Puntera de composite resistentes al impacto y a la compresión.
-CORTE EXTERNO: Totalmente en Micropiel.
-FORRO INTERNO: Elaborada en tejido de punto 100% poliester texturizado con suplemento en espuma calibre 4 mm, abullonado con lámina de espuma de polietileno calibre 10 mm y tela no tejida 100% poliéster que proporciona comodidad al zapato.
-OJALETES: Plásticos.
-CONTRAFUERTE: Lámina en poliester no tejido con adhesivo solvente que suministra alta protección al talón.
-PLANTILLA:
Interna: Lámina de strobel calibre 2 mm.
Externa: Etil Vinil Acetato (EVA) forrado en tela poliéster en tejido circular calibre 4 mm.
-SUELA: Bidensidad elaborada en PU-PU, inyectada directamente al corte, monocolor (negra) o bicolor (negro y gris o negra y marrón), antideslizante, impermeable, flexible, liviana, aislante térmica, con excelente resistencia a los hidrocarburos y excelentes propiedades dieléctricas. Dureza parte externa piso (compacto) 45-55 shore A y parte interna (expanso) 35-45 shore A.

SOMOS UNA EMPRESA DEDICADA A LA VENTA DE EQUIPOS DE PROTECCIÓN PERSONAL Y SEGURIDAD INDUSTRIAL, TODOS NUESTROS PRODUCTOS SE ENTREGAN CON FACTURA LEGAL, LOS PRECIOS PUBLICADOS INCLUYEN EL IVA.

VISITE NUESTRA E-SHOP EN EL SIGUIENTE LINK: https://eshops.mercadolibre.com.co/GCN-ONLINE"
46,Botas Zapatos Caterpillar Cat Para Hombre Montaña,128.900,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
37
38
39
40
41
Guía de tallas","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(18 disponibles),Hay stock disponible,,"199
ventas en los últimos 4 meses.","199
ventas en los últimos 4 meses.",,"199
ventas en los últimos 4 meses.","199
ventas en los últimos 4 meses.",,,¿Qué quieres saber?,"Cali, Valle Del Cauca",,"Marca
Caterpillar
Modelo
Montaña","Género Hombre
Tipo de calzado Botas
Estilo Chukka
Tipo de caña Media
Temporada de lanzamiento Primavera-verano
Año de lanzamiento 2020","Botas Caterpillar para Hombre!

Tallas desde la 37 hasta la 41,

Material 100% Cuero Crudo, de la mejor calidad y con garantía.

Producto con los mas altos Estándares de Calidad, Garantizado por Nosotros!

Has todas las consultas y pide asesoría para calcular tu talla.

Si tiene alguna inquietud del producto o del proceso de compra, puedes dar clic en preguntar y estaremos atentos a responder en el menor tiempo posible.

Envió Gratis a nivel Nacional. Compra 100% segura y protegida por Mercadoenvios.

Recuerda que todo cambio por talla y color, genera costos de transporte que deberán ser asumidos por el comprador.

Por favor no incluir datos de contacto en la sección de preguntas, una vez realice la oferta obtendrá todos mis datos para ultimar detalles del envió.

*GARANTÍA 30 DÍAS* POR DEFECTOS DE FABRICACIÓN"
47,Espectaculares Tenis Bota Deportivos En Cuero Para Hombre,100.000,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
38
39
40
41
Guía de tallas
Al 100% le calzó como esperaba","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",,,,"239
ventas en los últimos 4 meses.","239
ventas en los últimos 4 meses.",,"239
ventas en los últimos 4 meses.","239
ventas en los últimos 4 meses.",6 opiniones,5,¿Qué quieres saber?,"Rafael Uribe Uribe, Bogotá D.C.",100%,"Género
Hombre",,"Espectaculares tenis tipo bota deportivos en cuero para hombre, con suela tipo caterpillar en caucho, muy cómodos y resistentes.

Somos fabricantes, calzado nacional 100% calidad y originalidad.

Los colores disponibles son :

- Marrón claro -
- Negro -
- Marrón oscuro -

Tallas 37-38-39-40-41-42, pero por favor consulta primero en la sección de preguntas cualquier duda que tengas.


Ventas al detal y al mayor

Formas de pago y envío:

El envío es gratis por mercado envíos, y puedes pagar a través de mercado pago ya sea con la opción de efecty (en efectivo), tarjeta de crédito (a cuotas), tarjeta de débito (pse).

Te ofrecemos productos de calidad."
48,Bota Táctica Desierto Sahara Color Beige Claro,154.900,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
37
42
43","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(12 disponibles),Hay stock disponible,,"351
ventas en los últimos 4 meses.","351
ventas en los últimos 4 meses.",,"351
ventas en los últimos 4 meses.","351
ventas en los últimos 4 meses.",3 opiniones,4,¿Qué quieres saber?,"Rafael Uribe Uribe, Bogotá D.C.",,"Marca
Desierto
Modelo
Sahara","Género Hombre
Tipo de calzado Botas
Estilo Militar
Tipo de caña Alta
Año de lanzamiento 2016","Bota táctica desierto sahara elaborada en cuero liso, lona impermeable de alta durabilidad, suela liviana en caucho resistente y antideslizante, vulcanizadas, caña de 20 cm, acolchado interno térmico suave, cremallera lateral y plantilla semi ortopédica."
49,Zapatos Botas Botines Deportivos Para Dama +envio Gratis,70.000,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
35
36
37
38
39
40","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(13 disponibles),Hay stock disponible,,"1160
ventas en los últimos 4 meses.","1160
ventas en los últimos 4 meses.",,"1160
ventas en los últimos 4 meses.","1160
ventas en los últimos 4 meses.",2 opiniones,4,¿Qué quieres saber?,"Cúcuta, Norte De Santander",,"Género
Mujer",,"NOTA: ANTES DE COMPRAR POR FAVOR PREGUNTAR DISPONIBILIDAD DE LA TALLA Y EL COLOR DESEADO.
Debido a que realizamos ventas fuera y dentro de MercadoLibre se hace difícil actualizar inventario digital, evitemos inconvenientes.
TODOS NUESTROS PRODUCTOS SON NACIONALES, FABRICADOS EN COLOMBIA!
Contamos con gran variedad de colores y tallas, elija la que más le guste!
Somos distribuidores directos de Fábrica, ubicados en Cúcuta, Norte de Santander.
Ventas al mayor y al detal
Realizamos cambios en caso de que la talla no le satisfaga, siempre y cuando el cliente corra con los gastos de envió.
Recibimos pagos por MERCADO PAGO
Envíos por Servientrega desde la plataforma de Mercado Envíos.
SOMOS TECNOTRONICS CÚCUTA, Compre Tranquilo su compra esta PROTEGIDA!"
50,Botines De Mujer Jakarta Moda 2020,98.700,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
34
35
36
37
38
39
Guía de tallas","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(6 disponibles),Hay stock disponible,,"308
ventas en los últimos 4 meses.","308
ventas en los últimos 4 meses.",,"308
ventas en los últimos 4 meses.","308
ventas en los últimos 4 meses.",2 opiniones,5,¿Qué quieres saber?,"Itaguí, Antioquia",,"Marca
Baya Baya Store
Modelo
Jakarta",Género Mujer,Botines de tacón. Material exterior; sintético. Material interior; sintético y textil. Detalle de cremallera. Punta redondeada. Altura tacón; 2cm. Altura de la caña; 8 cm. Cierre mediante cremallera. Suela de goma.
51,Botines Lupita Charol Tacon 7/2 Para Mujer,99.300,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
35
37
39
Guía de tallas","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(3 disponibles),Hay stock disponible,,"308
ventas en los últimos 4 meses.","308
ventas en los últimos 4 meses.",,"308
ventas en los últimos 4 meses.","308
ventas en los últimos 4 meses.",1 opinión,5,¿Qué quieres saber?,"Itaguí, Antioquia",,"Marca
Baya Baya
Modelo
Lupita",Género Mujer,
52,Bota Seguridad Liviana Kondor Indiana Mundial 209580 Dotacio,78.000,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
Seleccione una opción","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(62 disponibles),Hay stock disponible,,"1045
ventas en los últimos 4 meses.","1045
ventas en los últimos 4 meses.",,"1045
ventas en los últimos 4 meses.","1045
ventas en los últimos 4 meses.",1 opinión,5,¿Qué quieres saber?,"Suba, Bogotá D.C.",,"Marca
Kondor
Modelo
Mundial 209580",Género Hombre,"CARACTERÍSTICAS DEL CALZADO
COLOR: Negra
TALLAS: 35 al 45
CAPELLADA, LATERALES, PÁJAROS, PILÓN : MICROPIEL
VIDA UTIL: Seis (6) meses de Almacenamiento y/o Uso, en el ambiente de trabajo para el cual fue diseñado el calzado.

A). PUNTERA No metálica.
B). PLANTILLA En material espumado de 2.5 mm. y recubierto en poliéster algodón
C). CORDONES Redondos, en Poliéster ? Algodón.
D). CONTRAFUERTE Tela no tejida. Mezcla de poliéster y resinas acrílicas.
E). CUELLO En material espumado con forro textil.
F). LENGUETA Tipo Fuelle, en material sintético de base textil, forrada internamente.
G). OJALETES: Plásticos, no conductores de electricidad
H). SUELA Poliuretano, bicolor, bidensidad . Resistente a hidrocarburos, dieléctrica, alta resistencia a la abrasión y flexible. Recubriendo la puntera para menor desgaste.

Descuentos para distribuidores y mayoristas

RECUERDA: Te ofrecemos mercado envíos y si son compras mayores a $70000 son sin costo, la opción También se puede retirar en persona aplica únicamente para BOGOTÁ.

Las prendas modificadas, (Corte, costuras, bordados o estampados) PIERDEN LA GARANTÍA

Las fotos son referencia. En caso de necesitar factura se expide cuenta de cobro en mercado libre somos régimen simplificado."
53,Botas De Seguridad Caterpillar Puntera De Carbono Envio Grat,179.990,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
Seleccione una opción","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(27 disponibles),Hay stock disponible,,"217
ventas en los últimos 4 meses.","217
ventas en los últimos 4 meses.",,"217
ventas en los últimos 4 meses.","217
ventas en los últimos 4 meses.",6 opiniones,5,¿Qué quieres saber?,"Cali, Valle Del Cauca",,"Género
Hombre",,"mj virtual store somos importadores
botas caterpillar de seguridad con puntera de carbono
disponibles de talla 37 al 42
preguntar por disponibilidad
trabaje con nosotros precios especiales para vendedores y mayoristas
seriedad y cumplimiento"
54,Botas Caterpillar Para Hombre Envio Gratis,179.990,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
Seleccione una opción","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(25 disponibles),Hay stock disponible,,"217
ventas en los últimos 4 meses.","217
ventas en los últimos 4 meses.",,"217
ventas en los últimos 4 meses.","217
ventas en los últimos 4 meses.",1 opinión,5,¿Qué quieres saber?,"Cali, Valle Del Cauca",,"Género
Hombre",,"MJ virtual store somos importadores directos
Botas caterpillar importadas de cuero para hombre
disponibles desde las tallas 38 al 42
preguntar por disponibilidad antes de comprar
seriedad y cumplimiento"
55,Botas Caterpillar Para Hombre Envio Gratis Nuevo Modelo,179.990,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
Seleccione una opción","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(26 disponibles),Hay stock disponible,,"217
ventas en los últimos 4 meses.","217
ventas en los últimos 4 meses.",,"217
ventas en los últimos 4 meses.","217
ventas en los últimos 4 meses.",1 opinión,4,¿Qué quieres saber?,"Cali, Valle Del Cauca",,"Marca
Caterpillar",Género Hombre,"MJ virtual store somos importadores directos
Botas caterpillar importadas de cuero para hombre
disponibles desde las tallas 37 al 43
preguntar por disponibilidad antes de comprar
seriedad y cumplimiento"
56,Botas Para Hombre Jo Chelsea Café En Cuero - Outletshop,145.000,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
37
38
39
40
42
43
Guía de tallas","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(23 disponibles),Hay stock disponible,,"370
ventas en los últimos 4 meses.","370
ventas en los últimos 4 meses.",,"370
ventas en los últimos 4 meses.","370
ventas en los últimos 4 meses.",2 opiniones,4,¿Qué quieres saber?,"Puente Aranda, Bogotá D.C.",,"Marca
Outlet Shop
Modelo
Jo Chelsea café cuero",Género Hombre,"Botines 100% cuero liso color café avellana y suela de goma, hechos en Colombia. Nuestros productos nacen de la meta relacionada con la fabricación productos de uso cotidiano de alta calidad y a un precio asequible para toda la comunidad. Buscamos impactar a nuestros clientes, guiados por la calidad y comodidad de nuestros productos para generar una relación constante, de largo plazo y en los mejores términos. Trabajamos en equipo y estamos seguros que por cada impacto en nuestros clientes, crearemos una relación sincera y difícil de romper.

Tabla de medidas*:

23 cm -> 37
24 cm -> 38
25 cm -> 39
26 cm -> 40
27 cm -> 41
28 cm -> 42
29 cm -> 43

*Medidas tomadas desde el talón hasta el dedo pulgar, sin zapatos."
57,Bota Dielectrica Inyectada Poliuretano Liviana Ingeniero,59.700,Envío a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
Seleccione una opción","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(1445 disponibles),Hay stock disponible,,"190
ventas en el último año.","190
ventas en el último año.",,"190
ventas en el último año.","190
ventas en el último año.",3 opiniones,4,¿Qué quieres saber?,"Soacha, Cundinamarca",,"Marca
GM",Género Hombre,"DESCRIPCIÓN

- Botas de seguridad bajo la Norma NTC ISO20345
- Calzado eléctricamente aislante (dieléctrico)

- CAPELLADA: Corte elaborado en cuero Mocasín, cuero semi graso, calibre 1,8 -2,0 mm.
- SUELA: Poliuretano (PU), Liviana, confortable, caracterizada por ser Resistente a Hidrocarburos (R.H.) y Dieléctrica (D.E.)
- PUNTERA DE SEGURIDAD: Plástica, Dieléctrica y extra liviana, resistente al impacto noma EN 12568
- FORROS: Capellada: tela no tejida en fibra de poliéster 2 mm. Protege el pie del contacto con la puntera, Lateral: tela poliéster con espuma de 5 mm. Proporciona confort.
- OJALETES: Plástico con arandela, diámetro interno 3/16""
- CORDONES: Poliéster, trenzado redondo con puntera de acetano. Longitud 1,00 mm.
- COSTURAS: Hilo continuo de nylon de alta tenacidad, No. 20, excelente recuperación elástica, resistente a la humedad y a la abrasión. Resistencia 8900 cN. 1cN (CENTINIWTON)= 1,02 Gramos fuerza.
- PLANTILLA: Lamina EVA de 2 mm bondeada con tela poliéster.
- ALTURA: 4,5 +/- 1/4 pulgadas.
- PESO PROMEDIO: 960 gramos por par

Color negro o cafe"
58,"Bota De Caucho, Pvc, Machita, Dotacion",24.900,Envío a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
34
35
36
37
38
39
Al 50% le calzó como esperaba","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(531 disponibles),Hay stock disponible,,"369
ventas en los últimos 4 meses.","369
ventas en los últimos 4 meses.",,"369
ventas en los últimos 4 meses.","369
ventas en los últimos 4 meses.",6 opiniones,4,¿Qué quieres saber?,"Santa Fe, Bogotá D.C.",50%,"Marca
Croydon
Modelo
machita",Género Mujer,"Bota inyectada en PVC bicolor 100% impermeable, para niños jovenes y mujeres machita es proteccion y seguridad para tus pies es una bota con la cual podras estar seguro de recorrer caminos todo terreno, impermeable, comoday segura. De uso general en la industria y agro TALLAS DE LA 33-39
altura 24 cm
suela antideslisante"
59,"Bota Hombre Centauro, Dotacion, Industrial",69.900,Envío a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
38
39
40
41
42
Al 86% le calzó como esperaba","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(440 disponibles),Hay stock disponible,,"369
ventas en los últimos 4 meses.","369
ventas en los últimos 4 meses.",,"369
ventas en los últimos 4 meses.","369
ventas en los últimos 4 meses.",7 opiniones,4,¿Qué quieres saber?,"Santa Fe, Bogotá D.C.",86%,"Marca
calzado 70
Modelo
Centauro",Género Hombre,"BOTA CENTAURO
CUERO NOBU
SIN PUNTERA"
60,Botín Destinity Con Cremallera,92.000,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
35
36
37
38
39
Guía de tallas
Al 80% le calzó como esperaba","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(5 disponibles),Hay stock disponible,,"308
ventas en los últimos 4 meses.","308
ventas en los últimos 4 meses.",,"308
ventas en los últimos 4 meses.","308
ventas en los últimos 4 meses.",5 opiniones,5,¿Qué quieres saber?,"Itaguí, Antioquia",80%,"Marca
Baya Baya Store",Género Mujer,"Baya Baya Store

Hermosos Botín Destinity, desde la talla 35 a 39
Confirmar disponibilidad y color
Somos tienda online pregunte todo lo necesario antes de ofertar
Hecho con amor en Colombia"
61,"Botines Para Dama Taches, Puntera En Cuero",93.600,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
Seleccione una opción
Guía de tallas
Al 100% le calzó como esperaba","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(13 disponibles),Hay stock disponible,,"137
ventas en los últimos 4 meses.","137
ventas en los últimos 4 meses.",,"137
ventas en los últimos 4 meses.","137
ventas en los últimos 4 meses.",3 opiniones,5,¿Qué quieres saber?,"Ciudad Bolivar, Bogotá D.C.",100%,"Marca
Jhonalje
Modelo
527","Género Mujer
Tipo de calzado Botas
Tipo de caña Baja
Temporada de lanzamiento Primavera-verano","- Botines con puntera en cuero con apliques de taches.
- Altura 5 1/2 también disponibilidad en 7 1/2
- Tallas desde la 34 hasta la 40
- Garantía de 60 días por fabrica
- Suela en caucho de alta resistencia
- realiza las preguntas que quieras, con gusto las respondemos! Somos Fabricantes!!

IMPORTANTE:
1. -ANTES DE REALIZAR LA COMPRA ACLARAR TODAS LAS DUDAS EN CUANTO A TALLAS,COLORES,MATERIALES, ETC,
2. - PARA CONOCER A CERCA DE LAS TALLAS TENEMOS UNA GUÍA DE TALLAS EN LA CUAL SE PUEDEN REFERENCIAR PARA REALIZAR SU PEDIDO.
3. - SI SE NECESITA REALIZAR UN CAMBIO POR NÚMERO SE DEBE INFORMAR EL MISMO DÍA EN EL CUAL SE RECIBE EL PRODUCTO, SE DEBE TENER EN CUENTA QUE EL COMPRADOR ASUMIRÁ LOS COSTOS LOGÍSTICOS QUE SE GENEREN POR EL CAMBIO.

- ESTAREMOS ATENTOS A CUALQUIER DUDA O SOLICITUD, GRACIAS POR SU
COMPRESIÓN."
62,"Zapatos Hombre, Clarks ,botas Hombre,botines Casuales",81.900,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
Seleccione una opción
Guía de tallas","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(13 disponibles),Hay stock disponible,,"477
ventas en los últimos 4 meses.","477
ventas en los últimos 4 meses.",,"477
ventas en los últimos 4 meses.","477
ventas en los últimos 4 meses.",,,¿Qué quieres saber?,"Villa Del Rosario, Norte De Santander",,"Marca
CLARKS",Género Hombre,"Zapatos Hombre Bota Clarks
Elaborados en sintético tipo cuero
Excelente calidad

!BIENVENIDOS A NUESTRA TIENDA ONLINE! en nuestro campo de preguntas puedes PREGUNTAR todo lo que desees para solucionar cualquier duda o confirmar DISPONIBILIDAD

ATENCIÓN : a la hora de elegir la talla ten en cuenta que las tallas publicadas son NACIONALES no son en US*

TEN EN CUENTA: cuando se efectúe la compra se pondrá a tu disposición nuestro número de TELÉFONO, WHATSAPP, para que tengas una atención mas ¡PERSONALIZADA!


MEDIOS DE PAGO:

*MERCADO PAGO *
TODAS LAS TARJETAS DE CRÉDITO
TODAS LAS TARJETAS DÉBITO
EFECTY
VIA BALOTO


ENVÍOS: HACEMOS ENVÍOS GRATIS A TODO EL PAÍS CON SERVICIO A DOMICILIO.

TIEMPO DE ENTREGA:
CIUDADES PRINCIPALES DE UNO A DOS DÍAS MÁXIMO
A NIVEL NACIONAL DE DOS HASTA 4 DÍAS DEPENDE UBICACIÓN

GARANTÍA...
*TODAS TUS COMPRAS ESTÁN 100% PROTEGIDAS POR MERCADO PAGO,
*NUESTROS PRODUCTOS SON DE LA MEJOR CALIDAD.
*3 MESES DE GARANTÍA POR PEGADO Y COSTURA .
*CUALQUIER INQUIETUD CON GUSTO LE ATENDEREMOS


ATENCIÓN: encuentra mas diseños en mas publicaciones del vendedor

!RECUERDE! para el proceso de garantía o cambio, es indispensable que primero se comunique a el número de celular que aparece en los datos del vendedor GRACIAS POR PREFERIRNOS..."
63,Botas Vicent Hombre En Cuero Miel Envejecido - Outletshop,145.000,Envío gratis a nivel nacional,Conoce los tiempos y las formas de envío,talla:,"talla:
37
38
40
41
42
43
Guía de tallas
Al 57% le calzó como esperaba","Compra Protegida, recibe el producto que esperabas o te devolvemos tu dinero.",(13 disponibles),Hay stock disponible,,"370
ventas en los últimos 4 meses.","370
ventas en los últimos 4 meses.",,"370
ventas en los últimos 4 meses.","370
ventas en los últimos 4 meses.",4 opiniones,4,¿Qué quieres saber?,"Puente Aranda, Bogotá D.C.",57%,"Marca
Outlet Shop
Modelo
Glenn",Género Hombre,"Botines 100% cuero graso color Miel envejecido y suela de goma, fabricados en Colombia. Nuestros productos están fabricados para uso cotidiano con alta calidad y a un precio asequible para toda la comunidad. Buscamos impactar a nuestros clientes, guiados por la calidad y comodidad de nuestros productos para generar una relación constante, de largo plazo y en los mejores términos. Trabajamos en equipo y estamos seguros que por cada impacto en nuestros clientes, crearemos una relación sincera y difícil de romper.

Tabla de medidas*:

23 cm a 23,9 cms -> 37
24 cm a 24,9 cms -> 38
25 cm a 25,9 cms -> 39
26 cm a 26,9 cms -> 40
27 cm a 27,9 cms -> 41
28 cm a 28,9 cms -> 42
29 cm a 29,9 cms -> 43

*Medidas tomadas desde el talón hasta el dedo gordo, sin zapatos."
